-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
25.5,28.5,2024,10,16.21
25.5,29.5,2024,10,16.67
25.5,30.5,2024,10,16.67
25.5,31.5,2024,10,16.69
25.5,32.5,2024,10,16.49
25.5,33.5,2024,10,16.39
26.5,26.5,2024,10,15.72
26.5,27.5,2024,10,15.8
26.5,28.5,2024,10,15.81
26.5,29.5,2024,10,16.09
26.5,30.5,2024,10,16.22
26.5,31.5,2024,10,16.25
26.5,32.5,2024,10,16.11
26.5,33.5,2024,10,16.03
27.5,26.5,2024,10,14.54
27.5,27.5,2024,10,14.88
27.5,28.5,2024,10,14.88
27.5,29.5,2024,10,15.21
27.5,30.5,2024,10,14.99
27.5,31.5,2024,10,15.67
27.5,32.5,2024,10,15.74
27.5,33.5,2024,10,15.56
28.5,26.5,2024,10,13.84
28.5,27.5,2024,10,14.18
28.5,28.5,2024,10,14.23
28.5,29.5,2024,10,14.46
28.5,30.5,2024,10,14.46
28.5,31.5,2024,10,15.0
28.5,32.5,2024,10,15.15
28.5,33.5,2024,10,15.4
29.5,26.5,2024,10,13.0
29.5,27.5,2024,10,13.1
29.5,28.5,2024,10,13.34
29.5,29.5,2024,10,13.6
29.5,30.5,2024,10,13.49
29.5,31.5,2024,10,13.94
29.5,32.5,2024,10,14.04
29.5,33.5,2024,10,14.85
30.5,26.5,2024,10,12.51
30.5,27.5,2024,10,12.99
30.5,28.5,2024,10,13.11
30.5,29.5,2024,10,13.07
30.5,30.5,2024,10,13.21
30.5,31.5,2024,10,12.74
30.5,32.5,2024,10,12.81
30.5,33.5,2024,10,13.47
31.5,26.5,2024,10,11.35
31.5,27.5,2024,10,10.84
31.5,28.5,2024,10,10.67
31.5,29.5,2024,10,10.11
31.5,30.5,2024,10,8.81
31.5,31.5,2024,10,8.96
31.5,32.5,2024,10,10.7
31.5,33.5,2024,10,11.85
